ifcn_file,circuit,gates,edges,inputs,outputs,width,height,area,nodes,routes,node_cells,route_cells,mapped_cells,crossline_groups,crossline_segments,unique_cross_cells,input_cells,output_cells,normal_cells,fix0_cells,fix1_cells
experiments/phase_pr/full_layouts/TOY_parity_p4.ifcn,parity.v,119,148,16,1,32,46,1472,119,148,813,2782,3595,40,58,326,16,1,751,44,1
experiments/phase_pr/full_layouts/TOY_parity_p3.ifcn,parity.v,119,148,16,1,48,31,1488,119,148,841,2900,3741,40,64,342,16,1,779,44,1
experiments/phase_pr/full_layouts/IWLS93_parity_p4.ifcn,parity.v,119,148,16,1,32,46,1472,119,148,813,2782,3595,40,58,326,16,1,751,44,1
experiments/phase_pr/full_layouts/IWLS93_parity_p3.ifcn,parity.v,119,148,16,1,48,31,1488,119,148,841,2900,3741,40,64,342,16,1,779,44,1
experiments/phase_pr/full_layouts/MAJ_1bitAdderAOIG_p4.ifcn,1bitAdderAOIG.v,20,28,3,2,7,31,217,20,28,136,867,1003,13,25,137,3,2,122,7,2
experiments/phase_pr/full_layouts/MAJ_1bitAdderAOIG_p3.ifcn,1bitAdderAOIG.v,20,28,3,2,7,31,217,20,28,136,867,1003,13,25,137,3,2,122,7,2
experiments/phase_pr/full_layouts/MAJ_1bitAdderMaj_p4.ifcn,1bitAdderMaj.v,9,11,3,1,5,9,45,9,11,52,138,190,3,3,19,3,1,45,3,0
experiments/phase_pr/full_layouts/MAJ_1bitAdderMaj_p3.ifcn,1bitAdderMaj.v,9,11,3,1,5,9,45,9,11,52,138,190,3,3,19,3,1,45,3,0
experiments/phase_pr/full_layouts/MAJ_RCA2_p4.ifcn,RCA2.v,55,81,5,3,20,31,620,55,81,362,2544,2906,43,79,443,5,3,333,20,1
experiments/phase_pr/full_layouts/MAJ_RCA2_p3.ifcn,RCA2.v,55,81,5,3,20,57,1140,55,81,370,3725,4095,40,78,434,5,3,341,20,1
