suite,file,circuit,phase,success,failure,gates,inputs,outputs,edges,attempts_limit,attempts_evaluated,route_fail,phase_fail,exception_fail,success_candidates,best_attempt,x_spacing,y_spacing,search_cost,width,height,area,route_length,total_adjacent,repeated_adjacent,repeat_ratio,max_run,runtime_s,block_size,padded_width,padded_height,padded_cells,padding_cells,phase_cells,tile_count,hex_chars,packed_bytes,packed_line_chars,legacy_coord_chars,packed_line_ratio,packed_bits_per_layout_cell,packed_bits_per_padded_cell,codec_roundtrip,codec_mismatches,ifcn_file,layout_tex_file
TOY,TOY/parity.v,parity.v,4,yes,,119,16,1,148,320,56,48,0,0,8,43,2,3,90.0,32,46,1472,902,754,198,0.262599,10,4.473536,4,32,48,1536,64,554,96,768,384,2128,5738,0.370861,2.086957,2.000000,yes,0,experiments/phase_pr/full_layouts/TOY_parity_p4.ifcn,experiments/phase_pr/full_layouts/TOY_parity_p4_layout.tex
TOY,TOY/parity.v,parity.v,3,yes,,119,16,1,148,320,56,48,0,0,8,46,3,2,150.0,48,31,1488,893,745,203,0.272483,4,4.972809,3,48,33,1584,96,595,176,1056,528,3602,6113,0.589236,2.838710,2.666667,yes,0,experiments/phase_pr/full_layouts/TOY_parity_p3.ifcn,experiments/phase_pr/full_layouts/TOY_parity_p3_layout.tex
IWLS93,tests/benchmarks_f/IWLS93/parity.v,parity.v,4,yes,,119,16,1,148,320,56,48,0,0,8,43,2,3,90.0,32,46,1472,902,754,198,0.262599,10,5.101048,4,32,48,1536,64,554,96,768,384,2128,5738,0.370861,2.086957,2.000000,yes,0,experiments/phase_pr/full_layouts/IWLS93_parity_p4.ifcn,experiments/phase_pr/full_layouts/IWLS93_parity_p4_layout.tex
IWLS93,tests/benchmarks_f/IWLS93/parity.v,parity.v,3,yes,,119,16,1,148,320,56,48,0,0,8,46,3,2,150.0,48,31,1488,893,745,197,0.264430,5,5.606192,3,48,33,1584,96,595,176,1056,528,3602,6113,0.589236,2.838710,2.666667,yes,0,experiments/phase_pr/full_layouts/IWLS93_parity_p3.ifcn,experiments/phase_pr/full_layouts/IWLS93_parity_p3_layout.tex
MAJ,tests/benchmarks_f/MAJ/1bitAdderAOIG.v,1bitAdderAOIG.v,4,yes,,20,3,2,28,320,87,27,0,0,60,82,3,3,90.0,7,31,217,255,227,49,0.215859,4,3.911256,4,8,32,256,39,138,16,128,64,352,1326,0.265460,2.359447,2.000000,yes,0,experiments/phase_pr/full_layouts/MAJ_1bitAdderAOIG_p4.ifcn,experiments/phase_pr/full_layouts/MAJ_1bitAdderAOIG_p4_layout.tex
MAJ,tests/benchmarks_f/MAJ/1bitAdderAOIG.v,1bitAdderAOIG.v,3,yes,,20,3,2,28,320,83,26,0,0,57,82,3,3,90.0,7,31,217,255,227,49,0.215859,4,4.924644,3,9,33,297,80,138,33,198,99,663,1326,0.500000,3.649770,2.666667,yes,0,experiments/phase_pr/full_layouts/MAJ_1bitAdderAOIG_p3.ifcn,experiments/phase_pr/full_layouts/MAJ_1bitAdderAOIG_p3_layout.tex
MAJ,tests/benchmarks_f/MAJ/1bitAdderMaj.v,1bitAdderMaj.v,4,yes,,9,3,1,11,320,28,8,0,0,20,22,2,2,90.0,5,9,45,55,44,10,0.227273,3,0.743984,4,8,12,96,51,30,6,48,24,132,270,0.488889,4.266667,2.000000,yes,0,experiments/phase_pr/full_layouts/MAJ_1bitAdderMaj_p4.ifcn,experiments/phase_pr/full_layouts/MAJ_1bitAdderMaj_p4_layout.tex
MAJ,tests/benchmarks_f/MAJ/1bitAdderMaj.v,1bitAdderMaj.v,3,yes,,9,3,1,11,320,28,8,0,0,20,22,2,2,90.0,5,9,45,55,44,6,0.136364,2,0.873611,3,6,9,54,9,30,6,36,18,120,270,0.444444,3.200000,2.666667,yes,0,experiments/phase_pr/full_layouts/MAJ_1bitAdderMaj_p3.ifcn,experiments/phase_pr/full_layouts/MAJ_1bitAdderMaj_p3_layout.tex
MAJ,tests/benchmarks_f/MAJ/RCA2.v,RCA2.v,4,yes,,55,5,3,81,320,320,138,0,0,182,46,3,2,150.0,20,31,620,741,660,640,0.969697,26,19.497590,4,20,32,640,20,409,40,320,160,880,4108,0.214216,2.064516,2.000000,yes,0,experiments/phase_pr/full_layouts/MAJ_RCA2_p4.ifcn,experiments/phase_pr/full_layouts/MAJ_RCA2_p4_layout.tex
MAJ,tests/benchmarks_f/MAJ/RCA2.v,RCA2.v,3,yes,,55,5,3,81,320,130,100,0,0,30,119,3,4,150.0,20,57,1140,1035,954,225,0.235849,5,7.065874,3,21,57,1197,57,642,133,798,399,2723,6541,0.416297,2.800000,2.666667,yes,0,experiments/phase_pr/full_layouts/MAJ_RCA2_p3.ifcn,experiments/phase_pr/full_layouts/MAJ_RCA2_p3_layout.tex
