dataset,circuit,nodes,heuristic_w,heuristic_h,heuristic_area,graph_w,graph_h,graph_area,kc0_w,kc0_h,kc0_area,kc8_w,kc8_h,kc8_area,accepted_cuts,legal,elapsed_s,compaction_gain_pct,graph_gain_pct
MNT,mux21,8,4,5,20,6,4,24,4,7,28,4,5,20,2,true,3.567259917,28.57,16.67
MNT,xnor2,11,4,5,20,5,7,35,6,17,102,5,13,65,5,true,3.674493740,36.27,-85.71
MNT,HA,8,5,6,30,6,6,36,9,12,108,6,10,60,5,true,3.094983154,44.44,-66.67
MNT,xor2,7,4,5,20,5,5,25,6,15,90,5,12,60,4,true,2.716211806,33.33,-140.00
MNT,1bitAdderAOIG,12,,,,13,13,169,10,21,210,10,21,210,0,false,3.507962250,0.00,-24.26
MNT,c17,12,7,9,63,8,11,88,8,9,72,6,8,48,3,true,3.471283639,33.33,45.45
MNT,par_gen,17,6,8,48,7,9,63,13,21,273,13,21,273,0,false,3.790315143,0.00,-333.33
MNT,t,15,,,,7,10,70,10,15,150,8,12,96,5,true,3.369244722,36.00,-37.14
MNT,b1_r2,16,,,,18,18,324,9,9,81,8,8,64,2,true,3.311140313,20.99,80.25
MNT,mux41,20,,,,13,13,169,34,30,1020,34,30,1020,0,false,3.659335287,0.00,-503.55
MNT,par_check,24,,,,9,10,90,22,27,594,16,25,400,8,true,3.663246384,32.66,-344.44
MNT,clpl,21,,,,10,12,120,33,43,1419,33,43,1419,0,false,3.312669086,0.00,-1082.50
MNT,newtag,23,,,,10,12,120,15,24,360,12,19,228,8,true,3.300660796,36.67,-90.00
MNT,xor5_r1,31,,,,10,19,190,28,43,1204,25,43,1075,3,false,3.346028183,10.71,-465.79
MNT,RCA2,31,,,,26,30,780,56,60,3360,29,39,1131,48,false,3.441440206,66.34,-45.00
MNT,xor5R,37,,,,29,39,1131,28,43,1204,25,43,1075,3,false,3.706189324,10.71,4.95
MNT,parity,119,,,,39,41,1599,39,32,1248,39,24,936,8,true,3.582201438,25.00,41.46
